縣市,職業類型,是否通過_levene,是否通過_Shapiro_Wilk,能否進行檢定
新北市,經營、人資類,pass,pass,pass
基隆市,經營、人資類,none,pass,none
桃園市,經營、人資類,none,pass,none
台南市,經營、人資類,pass,pass,pass
宜蘭縣,經營、人資類,pass,pass,pass
花蓮縣,經營、人資類,pass,pass,pass
彰化縣,經營、人資類,pass,pass,pass
雲林縣,經營、人資類,pass,pass,pass
金門縣,經營、人資類,none,pass,none
新竹縣,經營、人資類,none,pass,none
台中市,經營、人資類,none,pass,none
高雄市,經營、人資類,pass,pass,pass
南投縣,經營、人資類,none,pass,none
屏東縣,經營、人資類,pass,pass,pass
新竹市,經營、人資類,none,pass,none
澎湖縣,經營、人資類,none,pass,none
苗栗縣,經營、人資類,none,pass,none
嘉義縣,經營、人資類,none,pass,none
嘉義市,經營、人資類,none,pass,none
台東縣,經營、人資類,none,pass,none
新北市,行政、總務、法務類,pass,pass,pass
基隆市,行政、總務、法務類,none,pass,none
桃園市,行政、總務、法務類,pass,pass,pass
台南市,行政、總務、法務類,pass,pass,pass
宜蘭縣,行政、總務、法務類,pass,pass,pass
花蓮縣,行政、總務、法務類,pass,pass,pass
彰化縣,行政、總務、法務類,pass,pass,pass
雲林縣,行政、總務、法務類,pass,pass,pass
金門縣,行政、總務、法務類,none,pass,none
新竹縣,行政、總務、法務類,pass,pass,pass
台中市,行政、總務、法務類,pass,pass,pass
高雄市,行政、總務、法務類,pass,pass,pass
南投縣,行政、總務、法務類,pass,pass,pass
屏東縣,行政、總務、法務類,pass,pass,pass
新竹市,行政、總務、法務類,pass,pass,pass
澎湖縣,行政、總務、法務類,none,pass,none
苗栗縣,行政、總務、法務類,pass,pass,pass
嘉義縣,行政、總務、法務類,pass,pass,pass
嘉義市,行政、總務、法務類,pass,pass,pass
台東縣,行政、總務、法務類,none,pass,none
新北市,財會、金融專業類,pass,pass,pass
基隆市,財會、金融專業類,none,pass,none
桃園市,財會、金融專業類,pass,pass,pass
台南市,財會、金融專業類,pass,pass,pass
宜蘭縣,財會、金融專業類,none,pass,none
花蓮縣,財會、金融專業類,pass,pass,pass
彰化縣,財會、金融專業類,pass,pass,pass
雲林縣,財會、金融專業類,pass,pass,pass
金門縣,財會、金融專業類,none,pass,none
新竹縣,財會、金融專業類,pass,pass,pass
台中市,財會、金融專業類,pass,pass,pass
高雄市,財會、金融專業類,pass,pass,pass
南投縣,財會、金融專業類,pass,pass,pass
屏東縣,財會、金融專業類,pass,pass,pass
新竹市,財會、金融專業類,none,pass,none
澎湖縣,財會、金融專業類,none,pass,none
苗栗縣,財會、金融專業類,pass,pass,pass
嘉義縣,財會、金融專業類,pass,pass,pass
嘉義市,財會、金融專業類,pass,pass,pass
台東縣,財會、金融專業類,pass,pass,pass
新北市,行銷、企劃、專案管理類,pass,pass,pass
基隆市,行銷、企劃、專案管理類,pass,pass,pass
桃園市,行銷、企劃、專案管理類,pass,pass,pass
台南市,行銷、企劃、專案管理類,pass,pass,pass
宜蘭縣,行銷、企劃、專案管理類,pass,pass,pass
花蓮縣,行銷、企劃、專案管理類,pass,pass,pass
彰化縣,行銷、企劃、專案管理類,pass,pass,pass
雲林縣,行銷、企劃、專案管理類,pass,pass,pass
金門縣,行銷、企劃、專案管理類,pass,pass,pass
新竹縣,行銷、企劃、專案管理類,pass,pass,pass
台中市,行銷、企劃、專案管理類,pass,pass,pass
高雄市,行銷、企劃、專案管理類,pass,pass,pass
南投縣,行銷、企劃、專案管理類,pass,pass,pass
屏東縣,行銷、企劃、專案管理類,none,pass,none
新竹市,行銷、企劃、專案管理類,none,pass,none
澎湖縣,行銷、企劃、專案管理類,none,pass,none
苗栗縣,行銷、企劃、專案管理類,pass,pass,pass
嘉義縣,行銷、企劃、專案管理類,pass,pass,pass
嘉義市,行銷、企劃、專案管理類,pass,pass,pass
台東縣,行銷、企劃、專案管理類,pass,pass,pass
新北市,客服、門市、業務、貿易類,pass,pass,pass
基隆市,客服、門市、業務、貿易類,none,pass,none
桃園市,客服、門市、業務、貿易類,pass,pass,pass
台南市,客服、門市、業務、貿易類,pass,pass,pass
宜蘭縣,客服、門市、業務、貿易類,pass,pass,pass
花蓮縣,客服、門市、業務、貿易類,pass,pass,pass
彰化縣,客服、門市、業務、貿易類,pass,pass,pass
雲林縣,客服、門市、業務、貿易類,pass,pass,pass
金門縣,客服、門市、業務、貿易類,none,pass,none
新竹縣,客服、門市、業務、貿易類,none,pass,none
台中市,客服、門市、業務、貿易類,pass,pass,pass
高雄市,客服、門市、業務、貿易類,pass,pass,pass
南投縣,客服、門市、業務、貿易類,pass,pass,pass
屏東縣,客服、門市、業務、貿易類,none,pass,none
新竹市,客服、門市、業務、貿易類,none,pass,none
澎湖縣,客服、門市、業務、貿易類,none,pass,none
苗栗縣,客服、門市、業務、貿易類,none,pass,none
嘉義縣,客服、門市、業務、貿易類,pass,pass,pass
嘉義市,客服、門市、業務、貿易類,pass,pass,pass
台東縣,客服、門市、業務、貿易類,pass,pass,pass
新北市,餐飲、旅遊、美容美髮類,pass,pass,pass
基隆市,餐飲、旅遊、美容美髮類,none,pass,none
桃園市,餐飲、旅遊、美容美髮類,none,pass,none
台南市,餐飲、旅遊、美容美髮類,pass,pass,pass
宜蘭縣,餐飲、旅遊、美容美髮類,pass,pass,pass
花蓮縣,餐飲、旅遊、美容美髮類,pass,pass,pass
彰化縣,餐飲、旅遊、美容美髮類,pass,pass,pass
雲林縣,餐飲、旅遊、美容美髮類,pass,pass,pass
金門縣,餐飲、旅遊、美容美髮類,pass,pass,pass
新竹縣,餐飲、旅遊、美容美髮類,pass,pass,pass
台中市,餐飲、旅遊、美容美髮類,pass,pass,pass
高雄市,餐飲、旅遊、美容美髮類,pass,pass,pass
南投縣,餐飲、旅遊、美容美髮類,pass,pass,pass
屏東縣,餐飲、旅遊、美容美髮類,pass,pass,pass
新竹市,餐飲、旅遊、美容美髮類,none,pass,none
澎湖縣,餐飲、旅遊、美容美髮類,none,pass,none
苗栗縣,餐飲、旅遊、美容美髮類,none,pass,none
嘉義縣,餐飲、旅遊、美容美髮類,none,pass,none
嘉義市,餐飲、旅遊、美容美髮類,pass,pass,pass
台東縣,餐飲、旅遊、美容美髮類,pass,pass,pass
新北市,資訊軟體系統類,none,pass,none
基隆市,資訊軟體系統類,pass,pass,pass
桃園市,資訊軟體系統類,none,pass,none
台南市,資訊軟體系統類,none,pass,none
宜蘭縣,資訊軟體系統類,pass,pass,pass
花蓮縣,資訊軟體系統類,pass,pass,pass
彰化縣,資訊軟體系統類,none,pass,none
雲林縣,資訊軟體系統類,pass,pass,pass
金門縣,資訊軟體系統類,pass,pass,pass
新竹縣,資訊軟體系統類,pass,pass,pass
台中市,資訊軟體系統類,pass,pass,pass
高雄市,資訊軟體系統類,pass,pass,pass
南投縣,資訊軟體系統類,pass,pass,pass
屏東縣,資訊軟體系統類,pass,pass,pass
新竹市,資訊軟體系統類,none,pass,none
澎湖縣,資訊軟體系統類,pass,pass,pass
苗栗縣,資訊軟體系統類,pass,pass,pass
嘉義縣,資訊軟體系統類,none,pass,none
嘉義市,資訊軟體系統類,pass,pass,pass
台東縣,資訊軟體系統類,pass,pass,pass
新北市,操作、技術、維修類,pass,pass,pass
基隆市,操作、技術、維修類,pass,pass,pass
桃園市,操作、技術、維修類,pass,pass,pass
台南市,操作、技術、維修類,pass,pass,pass
宜蘭縣,操作、技術、維修類,pass,pass,pass
花蓮縣,操作、技術、維修類,pass,pass,pass
彰化縣,操作、技術、維修類,pass,pass,pass
雲林縣,操作、技術、維修類,pass,pass,pass
金門縣,操作、技術、維修類,none,pass,none
新竹縣,操作、技術、維修類,none,pass,none
台中市,操作、技術、維修類,pass,pass,pass
高雄市,操作、技術、維修類,pass,pass,pass
南投縣,操作、技術、維修類,pass,pass,pass
屏東縣,操作、技術、維修類,none,pass,none
新竹市,操作、技術、維修類,none,pass,none
澎湖縣,操作、技術、維修類,none,pass,none
苗栗縣,操作、技術、維修類,none,pass,none
嘉義縣,操作、技術、維修類,pass,pass,pass
嘉義市,操作、技術、維修類,none,pass,none
台東縣,操作、技術、維修類,none,pass,none
新北市,資材、物流、運輸類,pass,pass,pass
基隆市,資材、物流、運輸類,pass,pass,pass
桃園市,資材、物流、運輸類,pass,pass,pass
台南市,資材、物流、運輸類,pass,pass,pass
宜蘭縣,資材、物流、運輸類,pass,pass,pass
花蓮縣,資材、物流、運輸類,pass,pass,pass
彰化縣,資材、物流、運輸類,pass,pass,pass
雲林縣,資材、物流、運輸類,pass,pass,pass
金門縣,資材、物流、運輸類,none,pass,none
新竹縣,資材、物流、運輸類,pass,pass,pass
台中市,資材、物流、運輸類,pass,pass,pass
高雄市,資材、物流、運輸類,pass,pass,pass
南投縣,資材、物流、運輸類,pass,pass,pass
屏東縣,資材、物流、運輸類,none,pass,none
新竹市,資材、物流、運輸類,pass,pass,pass
澎湖縣,資材、物流、運輸類,pass,pass,pass
苗栗縣,資材、物流、運輸類,pass,pass,pass
嘉義縣,資材、物流、運輸類,pass,pass,pass
嘉義市,資材、物流、運輸類,none,pass,none
台東縣,資材、物流、運輸類,pass,pass,pass
新北市,營建、製圖類,pass,pass,pass
基隆市,營建、製圖類,pass,pass,pass
桃園市,營建、製圖類,pass,pass,pass
台南市,營建、製圖類,pass,pass,pass
宜蘭縣,營建、製圖類,pass,pass,pass
花蓮縣,營建、製圖類,pass,pass,pass
彰化縣,營建、製圖類,pass,pass,pass
雲林縣,營建、製圖類,pass,pass,pass
金門縣,營建、製圖類,none,pass,none
新竹縣,營建、製圖類,pass,pass,pass
台中市,營建、製圖類,pass,pass,pass
高雄市,營建、製圖類,pass,pass,pass
南投縣,營建、製圖類,pass,pass,pass
屏東縣,營建、製圖類,pass,pass,pass
新竹市,營建、製圖類,pass,pass,pass
澎湖縣,營建、製圖類,none,pass,none
苗栗縣,營建、製圖類,pass,pass,pass
嘉義縣,營建、製圖類,pass,pass,pass
嘉義市,營建、製圖類,pass,pass,pass
台東縣,營建、製圖類,pass,pass,pass
新北市,傳播藝術、設計類,pass,pass,pass
基隆市,傳播藝術、設計類,pass,pass,pass
桃園市,傳播藝術、設計類,pass,pass,pass
台南市,傳播藝術、設計類,pass,pass,pass
